no,device_id,pm25,pm10,temp,humi,reg_date
3542905,D0012,13.1,13.2,16.2,53.5,2023-03-25 10:24:23.628122
3542922,D0012,13.6,13.8,16.2,54.2,2023-03-25 10:25:22.636336
3542940,D0012,14.5,14.8,16.2,56.5,2023-03-25 10:27:23.643775
3542957,D0012,13.1,13.2,16.1,56.1,2023-03-25 10:28:23.642052
3542974,D0012,14.1,14.5,16.2,56.3,2023-03-25 10:29:23.652094
3542986,D0012,12.8,12.9,16.2,54.8,2023-03-25 10:30:23.655404
3543004,D0012,13.6,13.7,16.1,53.8,2023-03-25 10:31:23.828999
3543035,D0012,13.2,13.4,15.9,53.0,2023-03-25 10:34:23.661449
3543053,D0012,12.2,12.4,16.0,53.9,2023-03-25 10:35:23.670224
3543073,D0012,12.5,12.5,16.2,54.6,2023-03-25 10:40:23.683814
3543090,D0012,13.0,13.1,16.1,54.4,2023-03-25 10:41:23.678653
3543107,D0012,13.5,13.6,16.0,53.7,2023-03-25 10:42:23.692144
3543131,D0012,12.7,12.8,16.0,54.9,2023-03-25 10:45:23.697497
3543148,D0012,13.0,13.1,15.9,57.0,2023-03-25 10:46:22.702349
3543165,D0012,13.3,13.8,15.8,54.3,2023-03-25 10:47:23.701526
3543182,D0012,13.8,13.9,15.7,55.0,2023-03-25 10:48:22.702641
3543199,D0012,13.9,14.3,15.7,54.3,2023-03-25 10:49:23.707701
3543216,D0012,13.4,13.7,15.8,54.3,2023-03-25 10:50:23.713118
3543242,D0012,13.5,13.9,15.9,54.3,2023-03-25 11:02:22.743247
3543263,D0012,10.5,10.8,16.3,52.8,2023-03-25 11:21:22.819115
3543267,D0012,13.8,14.3,16.3,55.3,2023-03-25 11:23:22.809994
3543284,D0012,13.2,13.8,16.5,52.9,2023-03-25 11:24:23.82069
3543301,D0012,12.7,13.2,16.5,53.0,2023-03-25 11:25:22.812053
3543318,D0012,13.4,14.0,16.3,54.0,2023-03-25 11:26:22.864814
3543335,D0012,12.9,13.1,16.3,53.8,2023-03-25 11:27:22.847908
3543352,D0012,12.2,12.5,16.4,52.2,2023-03-25 11:28:23.824004
3543369,D0012,12.4,12.7,16.4,54.0,2023-03-25 11:29:23.848786
3543386,D0012,12.1,12.4,16.4,54.0,2023-03-25 11:30:23.837486
3543403,D0012,12.7,13.1,16.3,52.5,2023-03-25 11:31:22.832983
3543420,D0012,12.9,13.3,16.3,54.3,2023-03-25 11:32:23.842671
3543437,D0012,12.3,12.7,16.3,54.0,2023-03-25 11:33:22.853893
3543454,D0012,12.6,13.0,16.3,51.7,2023-03-25 11:34:22.843886
3543471,D0012,12.7,13.1,16.3,51.6,2023-03-25 11:35:24.019119
3543489,D0012,13.4,14.0,16.2,51.1,2023-03-25 11:36:22.864356
3543508,D0012,12.0,12.5,16.3,51.0,2023-03-25 11:37:23.850649
3543525,D0012,11.0,11.3,16.5,52.6,2023-03-25 11:38:22.863084
3543543,D0012,12.2,12.5,16.5,53.1,2023-03-25 11:39:23.857047
3543560,D0012,12.0,12.8,16.6,53.4,2023-03-25 11:40:23.859291
3543577,D0012,12.2,12.8,16.6,52.6,2023-03-25 11:41:23.870628
3543594,D0012,12.4,13.0,16.7,52.9,2023-03-25 11:42:23.868536
3543611,D0012,12.2,12.9,16.7,52.7,2023-03-25 11:43:22.874199
3543628,D0012,11.5,12.3,16.7,52.5,2023-03-25 11:44:22.86946
3543645,D0012,11.7,12.5,16.8,52.5,2023-03-25 11:45:23.881243
3543662,D0012,12.7,13.6,16.9,52.4,2023-03-25 11:46:22.881495
3543679,D0012,12.0,12.8,16.9,50.7,2023-03-25 11:47:23.881323
3543696,D0012,11.2,11.7,16.8,50.3,2023-03-25 11:48:22.887887
3543713,D0012,12.2,12.9,16.8,51.5,2023-03-25 11:49:22.891025
3543730,D0012,11.8,12.7,16.8,52.3,2023-03-25 11:50:22.904047
3543747,D0012,11.6,12.5,16.8,51.2,2023-03-25 11:51:22.892323
3543764,D0012,11.3,12.0,16.7,51.5,2023-03-25 11:52:22.891574
3543781,D0012,11.9,12.7,16.7,50.3,2023-03-25 11:53:22.89529
3543798,D0012,11.5,12.3,16.8,49.3,2023-03-25 11:54:22.891999
3543831,D0012,11.4,12.2,16.9,50.5,2023-03-25 11:56:22.914119
3543848,D0012,11.0,11.4,17.0,51.5,2023-03-25 11:57:22.921699
3543865,D0012,10.9,11.2,17.1,52.3,2023-03-25 11:58:22.902041
3543882,D0012,11.0,11.4,17.2,50.8,2023-03-25 11:59:22.906275
3543899,D0012,11.5,12.2,17.3,50.8,2023-03-25 12:00:23.907475
3543916,D0012,10.2,10.7,17.4,51.2,2023-03-25 12:01:22.903073
3543933,D0012,12.0,12.6,17.4,49.3,2023-03-25 12:02:22.928713
3543950,D0012,11.4,12.1,17.3,50.5,2023-03-25 12:03:23.914416
3543967,D0012,12.0,12.8,17.3,50.9,2023-03-25 12:04:23.911839
3543985,D0012,11.4,12.0,17.2,50.5,2023-03-25 12:05:23.92081
3544003,D0012,12.5,13.1,17.2,51.6,2023-03-25 12:06:22.915419
3544021,D0012,11.6,12.3,17.2,49.1,2023-03-25 12:07:22.918521
3544039,D0012,11.0,11.5,17.2,49.7,2023-03-25 12:08:23.921574
3544057,D0012,11.4,12.0,17.3,50.8,2023-03-25 12:09:22.930149
3544075,D0012,11.6,12.3,17.3,48.5,2023-03-25 12:10:22.930941
3544093,D0012,12.1,12.8,17.3,49.3,2023-03-25 12:11:22.929591
3544111,D0012,11.8,12.7,17.1,49.9,2023-03-25 12:12:23.935998
3544129,D0012,11.0,11.6,17.0,50.7,2023-03-25 12:13:23.935402
3544147,D0012,11.6,12.2,17.2,50.4,2023-03-25 12:14:23.948561
3544165,D0012,11.8,12.3,17.2,51.0,2023-03-25 12:15:23.94243
3544183,D0012,10.9,11.6,17.2,50.4,2023-03-25 12:16:23.949759
3544201,D0012,11.4,11.8,17.1,49.4,2023-03-25 12:17:22.951823
3544219,D0012,12.5,12.9,17.2,50.1,2023-03-25 12:18:22.948307
3544237,D0012,12.5,13.2,17.3,49.7,2023-03-25 12:19:23.951255
3544255,D0012,12.2,13.0,17.2,49.1,2023-03-25 12:20:22.950795
3544273,D0012,12.8,13.5,17.2,50.2,2023-03-25 12:21:23.961563
3544291,D0012,11.6,12.2,17.2,51.7,2023-03-25 12:22:22.961211
3544309,D0012,11.8,12.1,17.2,50.2,2023-03-25 12:23:22.972011
3544327,D0012,11.8,11.9,17.2,49.9,2023-03-25 12:24:22.967368
3544345,D0012,12.2,12.6,17.2,51.8,2023-03-25 12:25:23.970578
3544363,D0012,11.5,11.9,17.1,50.4,2023-03-25 12:26:23.973735
3544381,D0012,12.7,13.2,17.1,51.8,2023-03-25 12:27:23.978368
3544399,D0012,12.1,12.7,17.1,51.5,2023-03-25 12:28:23.975441
3544417,D0012,11.9,12.4,17.1,50.6,2023-03-25 12:29:23.989719
3544435,D0012,12.1,12.6,17.1,51.0,2023-03-25 12:30:23.985071
3544453,D0012,11.8,12.0,17.3,51.6,2023-03-25 12:31:24.001245
3544471,D0012,11.4,11.8,17.3,50.7,2023-03-25 12:32:23.985767
3544489,D0012,12.8,13.0,17.2,50.5,2023-03-25 12:33:24.008407
3544507,D0012,11.9,12.1,17.3,51.3,2023-03-25 12:34:22.991807
3544525,D0012,12.6,12.9,17.3,49.8,2023-03-25 12:35:24.000899
3544543,D0012,12.5,12.8,17.3,51.7,2023-03-25 12:36:24.006633
3544561,D0012,12.9,13.1,17.3,51.9,2023-03-25 12:37:24.007166
3544579,D0012,12.7,13.0,17.3,49.4,2023-03-25 12:38:24.003046
3544597,D0012,12.5,12.8,17.3,50.5,2023-03-25 12:39:24.039466
3544615,D0012,11.9,11.9,17.3,50.4,2023-03-25 12:40:23.010723
3544633,D0012,12.6,12.7,17.1,50.7,2023-03-25 12:41:24.014769
3544651,D0012,12.0,12.1,17.1,52.4,2023-03-25 12:42:24.013687
3544669,D0012,13.0,13.3,17.0,50.6,2023-03-25 12:43:24.013798
3544687,D0012,12.2,12.3,17.0,52.0,2023-03-25 12:44:23.026248
3544705,D0012,11.8,11.8,17.0,52.1,2023-03-25 12:45:24.019602
3544723,D0012,11.8,11.9,17.2,52.3,2023-03-25 12:46:24.023462
3544741,D0012,13.0,13.5,17.5,50.6,2023-03-25 12:47:23.024697
3544759,D0012,12.8,12.9,17.6,50.1,2023-03-25 12:48:24.032857
3544777,D0012,12.0,12.1,17.5,50.1,2023-03-25 12:49:24.040295
3544795,D0012,12.7,12.8,17.7,51.5,2023-03-25 12:50:24.040993
3544813,D0012,12.2,12.3,17.7,50.1,2023-03-25 12:51:24.044775
3544831,D0012,12.0,12.1,17.7,48.7,2023-03-25 12:52:24.038274
3544849,D0012,11.6,11.8,17.6,48.6,2023-03-25 12:53:24.0427
3544867,D0012,12.6,12.7,17.5,49.6,2023-03-25 12:54:23.051388
3544885,D0012,12.2,12.4,17.6,50.0,2023-03-25 12:55:24.050704
3544903,D0012,12.6,12.9,17.6,49.4,2023-03-25 12:56:24.050242
3544921,D0012,12.5,12.6,17.5,49.3,2023-03-25 12:57:24.057329
3544939,D0012,12.3,12.4,17.4,49.4,2023-03-25 12:58:24.059753
3544957,D0012,12.9,13.1,17.3,48.7,2023-03-25 12:59:23.066949
3544975,D0012,12.5,12.8,17.2,49.7,2023-03-25 13:00:23.07361
3544994,D0012,12.5,12.7,17.2,47.9,2023-03-25 13:01:24.074316
3545013,D0012,13.1,13.5,17.2,47.3,2023-03-25 13:02:23.086372
3545032,D0012,12.2,12.6,17.4,47.8,2023-03-25 13:03:24.096298
3545051,D0012,12.1,12.4,17.4,49.6,2023-03-25 13:04:24.102994
3545070,D0012,12.1,12.2,17.4,49.3,2023-03-25 13:05:24.099876
3545089,D0012,13.2,13.6,17.3,48.8,2023-03-25 13:06:23.105867
3545108,D0012,12.3,12.4,17.4,49.6,2023-03-25 13:07:23.103407
3545127,D0012,13.2,13.5,17.4,49.3,2023-03-25 13:08:24.110039
3545146,D0012,12.6,13.1,17.4,49.4,2023-03-25 13:09:24.11454
3545165,D0012,12.4,12.5,17.4,48.6,2023-03-25 13:10:24.121104
3545184,D0012,13.9,14.1,17.4,50.4,2023-03-25 13:11:24.130782
3545203,D0012,13.3,13.5,17.3,48.8,2023-03-25 13:12:24.124126
3545222,D0012,13.4,13.6,17.2,48.9,2023-03-25 13:13:23.127887
3545241,D0012,12.5,12.5,17.2,50.3,2023-03-25 13:14:24.125703
3545260,D0012,13.0,13.3,17.0,48.7,2023-03-25 13:15:24.130295
3545279,D0012,14.0,14.3,16.9,49.6,2023-03-25 13:16:24.147807
3545298,D0012,13.1,13.6,16.6,50.0,2023-03-25 13:17:23.137947
3545317,D0012,14.0,14.6,16.5,49.4,2023-03-25 13:18:24.159346
3545336,D0012,14.3,14.9,16.7,49.9,2023-03-25 13:19:24.14282
3545355,D0012,13.1,13.6,16.9,50.1,2023-03-25 13:20:23.148442
3545374,D0012,11.2,11.4,17.0,50.5,2023-03-25 13:21:23.15782
3545393,D0012,12.9,13.2,17.0,49.5,2023-03-25 13:22:24.160137
3545412,D0012,13.8,14.1,16.9,50.1,2023-03-25 13:23:24.157086
3545431,D0012,12.8,13.1,17.0,50.4,2023-03-25 13:24:24.167834
3545450,D0012,13.2,13.2,16.9,50.1,2023-03-25 13:25:23.162939
3545468,D0012,13.0,13.2,16.9,50.5,2023-03-25 13:26:23.176024
3545487,D0012,11.9,12.0,17.0,51.9,2023-03-25 13:27:24.174537
3545506,D0012,12.9,12.9,17.1,52.1,2023-03-25 13:28:24.174474
3545525,D0012,12.4,12.5,17.2,51.7,2023-03-25 13:29:24.191976
3545544,D0012,13.0,13.2,17.2,51.5,2023-03-25 13:30:23.190273
3545563,D0012,12.4,12.6,17.2,51.3,2023-03-25 13:31:23.197654
3545582,D0012,12.3,12.4,17.1,50.1,2023-03-25 13:32:23.212795
3545601,D0012,12.7,12.8,17.0,50.7,2023-03-25 13:33:24.190166
3545620,D0012,12.6,13.0,17.0,50.1,2023-03-25 13:34:24.201479
3545639,D0012,11.9,11.9,16.8,50.3,2023-03-25 13:35:24.203545
3545658,D0012,13.0,13.1,16.8,49.3,2023-03-25 13:36:24.214484
3545677,D0012,12.1,12.3,17.0,50.2,2023-03-25 13:37:24.212022
3545696,D0012,13.3,13.7,17.1,49.7,2023-03-25 13:38:24.207574
3545715,D0012,12.9,13.2,17.1,50.3,2023-03-25 13:39:23.220044
3545734,D0012,12.7,12.9,16.9,50.1,2023-03-25 13:40:24.215897
3545753,D0012,12.3,12.4,16.9,50.9,2023-03-25 13:41:24.21715
3545772,D0012,12.8,12.9,16.9,50.3,2023-03-25 13:42:24.234987
3545791,D0012,11.5,11.8,16.9,49.8,2023-03-25 13:43:24.235064
3545810,D0012,13.5,13.8,16.8,50.7,2023-03-25 13:44:23.235679
3545829,D0012,13.3,13.5,16.8,50.8,2023-03-25 13:45:23.231342
3545848,D0012,13.5,13.7,16.7,50.5,2023-03-25 13:46:24.251395
3545867,D0012,13.0,13.2,16.7,51.9,2023-03-25 13:47:24.245004
3545886,D0012,13.2,13.4,16.7,51.6,2023-03-25 13:48:23.247795
3545905,D0012,13.1,13.2,16.7,51.4,2023-03-25 13:49:23.256275
3545924,D0012,13.7,14.0,16.6,50.8,2023-03-25 13:50:23.25174
3545943,D0012,13.0,13.2,16.5,50.0,2023-03-25 13:51:23.268957
3545962,D0012,13.9,14.2,16.5,50.9,2023-03-25 13:52:23.257851
3545981,D0012,13.1,13.3,16.5,50.2,2023-03-25 13:53:23.261775
3546000,D0012,14.4,14.6,16.5,50.0,2023-03-25 13:54:23.26864
3546019,D0012,12.9,12.9,16.5,51.0,2023-03-25 13:55:23.265618
3546038,D0012,13.7,13.7,16.5,50.9,2023-03-25 13:56:23.28342
3546057,D0012,13.6,13.7,16.5,51.6,2023-03-25 13:57:23.279594
3546076,D0012,13.2,13.2,16.6,50.9,2023-03-25 13:58:24.282547
3546095,D0012,12.7,12.9,16.5,52.7,2023-03-25 13:59:24.280141
3546114,D0012,13.7,14.2,16.5,52.6,2023-03-25 14:00:24.280287
3546133,D0012,13.0,13.3,16.5,52.4,2023-03-25 14:01:23.311422
3546152,D0012,13.2,13.2,16.5,51.3,2023-03-25 14:02:24.45763
3546171,D0012,14.0,14.4,16.5,52.7,2023-03-25 14:03:23.292996
3546190,D0012,14.1,14.4,16.2,51.5,2023-03-25 14:04:23.297044
3546209,D0012,12.9,12.9,16.2,51.5,2023-03-25 14:05:23.370098
3546228,D0012,13.6,13.7,16.2,51.3,2023-03-25 14:06:23.310281
3546247,D0012,13.6,13.8,16.3,50.9,2023-03-25 14:07:24.307481
3546266,D0012,13.5,13.6,16.3,51.5,2023-03-25 14:08:23.300005
3546285,D0012,13.8,14.2,16.3,52.8,2023-03-25 14:09:23.302395
3546304,D0012,12.9,13.2,16.3,53.1,2023-03-25 14:10:24.312875
3546323,D0012,13.0,13.2,16.2,50.8,2023-03-25 14:11:23.31957
3546342,D0012,12.8,12.9,16.2,50.8,2023-03-25 14:12:23.311481
3546361,D0012,13.2,13.3,16.2,50.3,2023-03-25 14:13:24.348472
3546380,D0012,13.2,13.4,16.2,51.0,2023-03-25 14:14:24.316948
3546399,D0012,13.0,13.2,16.2,51.7,2023-03-25 14:15:24.361466
3546418,D0012,14.2,14.3,16.2,51.6,2023-03-25 14:16:23.352818
3546437,D0012,13.6,13.7,16.3,52.2,2023-03-25 14:17:24.318803
3546456,D0012,12.6,12.7,16.3,52.3,2023-03-25 14:18:23.380054
3546475,D0012,13.5,13.9,16.3,51.7,2023-03-25 14:19:24.332241
3546494,D0012,14.1,14.4,16.3,51.1,2023-03-25 14:20:24.331818
3546513,D0012,13.2,13.3,16.1,51.6,2023-03-25 14:21:23.383935
3546532,D0012,13.2,13.3,16.1,52.2,2023-03-25 14:22:24.332084
3546551,D0012,13.2,13.6,16.1,53.3,2023-03-25 14:23:24.341424
3546570,D0012,12.8,13.1,16.2,53.0,2023-03-25 14:24:24.343042
3546589,D0012,13.1,13.5,16.2,51.9,2023-03-25 14:25:24.338954
3546608,D0012,13.6,14.1,16.1,53.5,2023-03-25 14:26:23.357924
3546627,D0012,12.6,12.8,16.1,52.8,2023-03-25 14:27:24.342664
3546646,D0012,13.8,14.3,16.0,52.2,2023-03-25 14:28:24.351931
3546665,D0012,12.6,13.0,16.1,51.8,2023-03-25 14:29:24.354653
3546684,D0012,13.6,14.0,16.4,52.5,2023-03-25 14:30:23.363612
3546703,D0012,12.7,13.0,16.4,52.1,2023-03-25 14:31:24.369253
3546722,D0012,13.6,14.2,16.4,52.9,2023-03-25 14:32:24.368393
3546741,D0012,13.1,13.4,16.5,53.3,2023-03-25 14:33:24.370792
3546760,D0012,13.4,13.4,16.6,53.0,2023-03-25 14:34:23.367514
3546779,D0012,13.1,13.3,16.6,51.8,2023-03-25 14:35:23.383926
3546798,D0012,13.2,13.4,16.5,51.7,2023-03-25 14:36:23.381768
3546817,D0012,13.2,13.4,16.5,52.2,2023-03-25 14:37:23.382826
3546836,D0012,14.3,14.9,16.4,51.7,2023-03-25 14:38:24.379641
3546855,D0012,13.1,13.5,16.5,52.2,2023-03-25 14:39:24.382942
3546874,D0012,13.6,13.9,16.5,51.4,2023-03-25 14:40:23.395301
3546893,D0012,13.2,13.5,16.5,53.0,2023-03-25 14:41:23.407361
3546912,D0012,13.0,13.6,16.4,52.9,2023-03-25 14:42:23.398912
3546931,D0012,14.2,14.8,16.4,53.3,2023-03-25 14:43:23.404174
3546950,D0012,14.1,14.7,16.4,52.6,2023-03-25 14:44:24.410152
3546969,D0012,12.7,13.2,16.2,51.9,2023-03-25 14:45:24.427395
3546988,D0012,15.2,15.9,16.1,52.2,2023-03-25 14:46:24.434007
3547006,D0012,13.6,14.1,16.4,51.6,2023-03-25 14:47:23.427109
3547025,D0012,12.6,13.0,16.4,51.9,2023-03-25 14:48:24.430298
3547044,D0012,13.7,14.3,16.5,51.9,2023-03-25 14:49:24.430093
3547063,D0012,13.2,13.7,16.4,52.9,2023-03-25 14:50:24.440897
3547082,D0012,13.6,14.2,16.4,53.8,2023-03-25 14:51:23.44629
3547101,D0012,13.1,13.5,16.5,52.5,2023-03-25 14:52:23.447199
3547120,D0012,13.6,14.2,16.5,53.7,2023-03-25 14:53:23.469688
3547139,D0012,13.3,13.7,16.5,52.6,2023-03-25 14:54:23.456057
3547158,D0012,13.0,13.2,16.5,52.5,2023-03-25 14:55:24.458942
3547177,D0012,12.8,13.0,16.6,52.8,2023-03-25 14:56:23.475222
3547196,D0012,13.2,13.8,16.4,52.0,2023-03-25 14:57:24.47309
3547215,D0012,12.9,13.1,16.5,52.4,2023-03-25 14:58:24.46504
3547234,D0012,13.1,13.2,16.4,52.4,2023-03-25 14:59:23.468732
3547253,D0012,12.8,13.0,16.5,51.9,2023-03-25 15:00:24.478913
3547272,D0012,12.8,13.0,16.4,51.3,2023-03-25 15:01:23.479021
3547291,D0012,13.8,14.2,16.2,52.6,2023-03-25 15:02:23.488929
3547310,D0012,13.2,13.6,16.2,51.1,2023-03-25 15:03:23.486443
3547329,D0012,13.2,13.8,16.3,51.6,2023-03-25 15:04:24.492511
3547348,D0012,13.3,14.1,16.5,51.9,2023-03-25 15:05:24.49355
3547367,D0012,13.4,14.1,16.6,52.9,2023-03-25 15:06:23.492375
3547386,D0012,13.1,13.8,16.5,52.9,2023-03-25 15:07:23.501108
3547405,D0012,12.8,13.3,16.6,51.7,2023-03-25 15:08:24.502027
3547424,D0012,12.2,12.4,16.6,53.0,2023-03-25 15:09:23.503426
3547443,D0012,13.0,13.3,16.4,52.2,2023-03-25 15:10:23.506701
3547462,D0012,12.9,13.0,16.5,52.7,2023-03-25 15:11:23.519998
3547481,D0012,13.4,13.8,16.6,53.0,2023-03-25 15:12:23.514911
3547500,D0012,13.4,14.0,16.5,52.3,2023-03-25 15:13:24.516452
3547519,D0012,12.8,13.4,16.6,51.8,2023-03-25 15:14:24.524817
3547538,D0012,12.6,13.3,16.7,53.3,2023-03-25 15:15:24.518394
3547557,D0012,13.4,14.0,16.7,51.7,2023-03-25 15:16:24.533234
3547576,D0012,13.2,13.5,16.7,52.8,2023-03-25 15:17:24.524893
3547595,D0012,13.7,13.9,16.5,52.1,2023-03-25 15:18:23.540766
3547614,D0012,12.9,13.2,16.5,52.3,2023-03-25 15:19:24.523976
3547633,D0012,14.2,14.8,16.3,51.4,2023-03-25 15:20:24.527769
